Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,30.129999,32.419998,29.629999,32.119999,32.119999,9487755
2019-01-02,32.119999,34.060001,31.870001,33.400002,33.400002,10542080
2019-01-03,33.400002,33.549999,31.010000,32.029999,32.029999,8407434
2019-01-04,32.029999,33.070000,31.400000,32.439999,32.439999,9571642
2019-01-05,32.439999,36.610001,32.430000,34.939999,34.939999,26242864
2019-01-06,34.939999,40.630001,34.610001,39.450001,39.450001,46298470
2019-01-07,39.450001,40.049999,37.220001,37.980000,37.980000,18754874
2019-01-08,37.980000,41.500000,37.799999,39.560001,39.560001,32664600
2019-01-09,39.560001,40.509998,38.759998,38.919998,38.919998,17461355
2019-01-10,38.919998,39.610001,32.299999,33.549999,33.549999,36893380
2019-01-11,33.549999,33.919998,31.370001,32.000000,32.000000,16929553
2019-01-12,32.000000,32.619999,31.760000,32.259998,32.259998,7476374
2019-01-13,32.259998,33.160000,29.750000,30.110001,30.110001,14679267
2019-01-14,30.110001,33.180000,29.980000,32.360001,32.360001,15211119
2019-01-15,32.360001,32.700001,30.680000,31.270000,31.270000,14517174
2019-01-16,31.270000,32.200001,30.930000,31.629999,31.629999,9131089
2019-01-17,31.629999,31.969999,30.209999,31.830000,31.830000,13550416
2019-01-18,31.830000,31.950001,30.700001,31.129999,31.129999,6279392
2019-01-19,31.129999,33.560001,31.129999,32.570000,32.570000,10498137
2019-01-20,32.570000,33.410000,30.480000,30.760000,30.760000,14879390
2019-01-21,30.760000,31.370001,30.570000,31.040001,31.040001,8734012
2019-01-22,31.040001,32.330002,29.790001,31.799999,31.799999,16668444
2019-01-23,31.799999,32.419998,31.490000,31.889999,31.889999,9501120
2019-01-24,31.889999,33.230000,31.290001,32.830002,32.830002,13092655
2019-01-25,32.830002,33.240002,32.110001,32.910000,32.910000,10489840
2019-01-26,32.910000,34.189999,32.740002,32.980000,32.980000,11029096
2019-01-27,32.980000,33.250000,31.430000,32.340000,32.340000,9771662
2019-01-28,32.340000,32.599998,30.110001,31.160000,31.160000,13945422
2019-01-29,31.160000,31.450001,30.139999,31.010000,31.010000,6855506
2019-01-30,31.010000,32.070000,30.680000,31.830000,31.830000,8181417
2019-01-31,31.830000,32.490002,31.160000,31.520000,31.520000,7035895
2019-02-01,31.520000,33.570000,30.850000,32.730000,32.730000,18195716
2019-02-02,32.730000,34.930000,32.619999,34.540001,34.540001,14161008
2019-02-03,34.540001,34.900002,32.830002,33.259998,33.259998,17235890
2019-02-04,33.259998,34.320000,33.259998,33.970001,33.970001,9547721
2019-02-05,33.970001,34.380001,33.590000,34.270000,34.270000,7498057
2019-02-06,34.270000,34.419998,32.230000,32.810001,32.810001,13979420
2019-02-07,32.810001,33.529999,32.759998,33.180000,33.180000,5986083
2019-02-08,33.180000,46.200001,32.840000,43.130001,43.130001,84055816
2019-02-09,43.130001,46.000000,42.340000,44.610001,44.610001,41263058
2019-02-10,44.610001,47.419998,42.119999,46.860001,46.860001,43130681
2019-02-11,46.860001,46.919998,41.720001,42.849998,42.849998,37222377
2019-02-12,42.849998,44.639999,41.880001,43.930000,43.930000,23571151
2019-02-13,43.930000,44.759998,40.720001,41.689999,41.689999,24294209
2019-02-14,41.689999,42.410000,40.349998,41.389999,41.389999,16171844
2019-02-15,41.389999,44.529999,41.299999,42.689999,42.689999,22527408
2019-02-16,42.689999,44.450001,42.400002,43.560001,43.560001,18426867
2019-02-17,43.560001,45.200001,42.770000,44.060001,44.060001,21549854
2019-02-18,44.060001,49.230000,43.700001,47.880001,47.880001,52653038
2019-02-19,47.880001,49.270000,46.919998,47.349998,47.349998,28910849
2019-02-20,47.349998,52.430000,46.599998,51.680000,51.680000,46073399
2019-02-21,51.680000,51.830002,48.040001,48.990002,48.990002,29601563
2019-02-22,48.990002,50.080002,48.250000,49.639999,49.639999,22370701
2019-02-23,49.639999,52.230000,48.270000,51.799999,51.799999,29571108
2019-02-24,51.799999,53.980000,42.990002,43.980000,43.980000,53400456
2019-02-25,43.980000,47.099998,43.869999,45.759998,45.759998,27597859
2019-02-26,45.759998,46.130001,44.470001,45.049999,45.049999,15035190
2019-02-27,45.049999,45.750000,43.000000,45.369999,45.369999,19754320
2019-02-28,45.369999,47.020000,45.040001,45.919998,45.919998,20601471
2019-03-01,45.919998,49.209999,45.810001,47.380001,47.380001,22331216
2019-03-02,47.380001,49.630001,46.930000,48.900002,48.900002,16000113
2019-03-03,48.900002,49.389999,47.509998,48.169998,48.169998,12354527
2019-03-04,48.169998,48.500000,45.049999,46.130001,46.130001,20225824
2019-03-05,46.130001,54.680000,45.790001,52.970001,52.970001,53767660
2019-03-06,52.970001,57.119999,51.740002,55.849998,55.849998,45099842
2019-03-07,55.849998,59.669998,54.320000,57.240002,57.240002,62850020
2019-03-08,57.240002,58.060001,54.660000,56.000000,56.000000,36929888
2019-03-09,56.000000,59.970001,55.810001,58.180000,58.180000,35616997
2019-03-10,58.180000,58.259998,56.340000,57.049999,57.049999,20109173
2019-03-11,57.049999,57.680000,54.419998,55.340000,55.340000,28027927
2019-03-12,55.340000,57.410000,52.849998,56.970001,56.970001,35704676
2019-03-13,56.970001,57.189999,54.880001,55.849998,55.849998,19651084
2019-03-14,55.849998,58.360001,53.750000,56.340000,56.340000,26061662
2019-03-15,56.340000,59.529999,56.340000,58.910000,58.910000,26872691
2019-03-16,58.910000,62.419998,58.900002,61.610001,61.610001,37934813
2019-03-17,61.610001,61.669998,60.110001,60.970001,60.970001,15515518
2019-03-18,60.970001,62.970001,58.630001,59.669998,59.669998,29816436
2019-03-19,59.669998,60.560001,58.910000,60.169998,60.169998,26075400
2019-03-20,60.169998,61.410000,57.639999,60.910000,60.910000,26738191
2019-03-21,60.910000,61.180000,57.730000,58.900002,58.900002,24050017
2019-03-22,58.900002,60.049999,58.439999,59.610001,59.610001,17858409
2019-03-23,59.610001,61.759998,59.410000,61.130001,61.130001,16110632
2019-03-24,61.130001,61.150002,59.220001,59.950001,59.950001,12148395
2019-03-25,59.950001,60.740002,58.439999,59.160000,59.160000,22042229
2019-03-26,59.160000,59.389999,57.630001,59.080002,59.080002,18059979
2019-03-27,59.080002,62.060001,58.959999,61.770000,61.770000,28520711
2019-03-28,61.770000,61.770000,60.529999,60.740002,60.740002,10750956
2019-03-29,60.740002,62.060001,60.340000,61.810001,61.810001,17513214
2019-03-30,61.810001,61.959999,60.070000,60.709999,60.709999,13893503
2019-03-31,60.709999,60.919998,60.139999,60.779999,60.779999,7340032
2019-03-31,60.779999,61.160000,60.310001,60.700001,60.700001,10612221
2019-04-01,60.700001,79.300003,60.540001,78.440002,78.440002,103962105
2019-04-02,77.669998,99.510002,75.800003,85.660004,85.660004,271492624
2019-04-03,85.580002,90.440002,80.879997,85.269997,85.269997,87365200
2019-04-04,85.150002,90.599998,84.550003,88.949997,88.949997,47567521
2019-04-05,88.949997,98.129997,85.730003,92.629997,92.629997,85304472
2019-04-06,92.629997,95.949997,89.480003,92.160004,92.160004,45227858
2019-04-07,92.160004,94.360001,86.760002,89.480003,89.480003,51949477
2019-04-08,89.610001,89.800003,84.099998,87.019997,87.019997,35219743
2019-04-09,87.019997,91.940002,86.550003,88.389999,88.389999,42756139
2019-04-10,88.339996,88.660004,75.459999,79.889999,79.889999,65727823
2019-04-11,79.440002,81.269997,75.720001,78.980003,78.980003,31699968
2019-04-12,78.980003,81.690002,76.489998,78.150002,78.150002,22750242
2019-04-13,78.150002,83.980003,76.650002,83.410004,83.410004,25754228
2019-04-14,83.940002,84.870003,75.089996,78.269997,78.269997,49977958
2019-04-15,78.269997,81.879997,77.339996,81.180000,81.180000,29081019
2019-04-16,81.029999,82.250000,78.790001,79.339996,79.339996,19601416
2019-04-17,79.339996,84.059998,79.309998,82.339996,82.339996,32760367
